wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,1,"CantQuSol, l. 1",Quant,quant,_,kANT,qu.a.n.t,k/A\NT,fro,CONsub,---,quand,DMF,quand,,,"<text><body xml:lang=&quot;fro&quot;><pb n=&quot;92v&quot;/><lb n=&quot;3&quot;/><lg n=&quot;1&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;1&quot;>"
2,1,2,1,"CantQuSol, l. 1",li,li,+,Li,l.i,L/i\,fro,DETdef,smn,le,DMF,le,,,
3,1,3,1,"CantQuSol, l. 1",solleiz,solleiz,_,SolEiÇ,s.o.ll.e.i.z,S/o\.'l/E\iÇ,fro,NOMcom,smn,soleil,DMF,soleil,,,
4,1,4,1,"CantQuSol, l. 1",conu[er]set,converset,_,kONvɛrSə,c.o.n.v.e.r.s.et,k/O\N.'v/ɛ\r.S/ə\,fro,VERcjg,indpst3,converser,DMF,converser,,,
5,1,5,1,"CantQuSol, l. 1",en,en,+,En,e.n,/E\n,fro,PRE,---,en,DMF,en,,,
6,1,6,1,"CantQuSol, l. 1",leon,leon,|,LEOn,l.e.o.n,L/E\.'/O\n,fro,NOMcom,smr,lion,DMF,lion,,</l>,
7,2,1,2,"CantQuSol, l. 2",en,en,+,En,e.n,/E\n,fro,PRE,---,en,DMF,en,,,<lb/><l n=&quot;2&quot;>
8,2,2,2,"CantQuSol, l. 2",icel,icel,+,iʦel,i.c.e.l,/i\.'ʦ/e\l,fro,DETdem,smr,cil,DMF,cil,,,
9,2,3,2,"CantQuSol, l. 2",tens,tens,_,tENS,t.e.n.s,t/E\NS,fro,NOMcom,smr,temps,DMF,temps,,,
10,2,4,2,"CantQuSol, l. 2",qu,qu,+,k,qu,k/\,fro,PRNrel,smn,que,DMF,que,,,
11,2,5,2,"CantQuSol, l. 2",est,est,_,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
12,2,6,2,"CantQuSol, l. 2",ort[us],ortus,_,ɔrtyS,o.r.t.u.s,/ɔ\r.'t/y\S,lat,NOMcom,smn,hortus,wiktionary,hort,,,
13,2,7,2,"CantQuSol, l. 2",pliadon,pliadon,|,pLiAdOn,p.l.i.a.d.o.n,pL/i\./A\.'d/O\n,fro,NOMcom,sfr,Pléiade,wikipedia.fr,---,,</l>,
14,3,1,3,"CantQuSol, l. 3",per,per,_,pEr,p.e.r,p/E\r,fro,PRE,---,par,DMF,par,,,<lb/><l n=&quot;3&quot;>
15,3,2,3,"CantQuSol, l. 3",unt,unt,_,yN,u.nt,/y\N,fro,DETndf,smr,un,DMF,un,,,
16,3,3,3,"CantQuSol, l. 3",matin,matin,;,mAtin,m.a.t.i.n,m/A\.'t/i\n,fro,NOMcom,smr,matin,DMF,matin,,</l></lg>,
17,4,1,4,"CantQuSol, l. 4",Vne,une,|,ynə,u.n.e,'/y\.n/(ə)\,fro,DETndf,sfr,un,DMF,un,,,"<lg n=&quot;2&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;4&quot;>"
18,4,2,4,"CantQuSol, l. 4",pulcellet,pulcellet,_,pyLÇɛlə,p.u.l.c.e.ll.et,p/y\L.'Ç/ɛ\.l/(ə)\,fro,NOMcom,sfr,pucelle,DMF,pucelle,,,<lb/>
19,4,3,4,"CantQuSol, l. 4",odit,odit,_,ɔði,o.d.it,/ɔ\.'ð/i\,fro,VERcjg,indpsp1,ouïr,DMF,ouïr,,,
20,4,4,4,"CantQuSol, l. 4",molt,molt,_,moLT,m.o.l.t,m/o\LT,fro,ADVgen,---,moult,DMF,moult,,,
21,4,5,4,"CantQuSol, l. 4",gent,gent,_,ʤENT,g.e.n.t,ʤ/E\NT,fro,ADVgen,---,gent2,DMF,gent2,,,
22,4,6,4,"CantQuSol, l. 4",plo|rer,plorer,_,pLorær,p.l.o.r.e.r,pL/o\.'r/æ\r,fro,VERinf,---,pleurer,DMF,pleurer,,</l>,
23,5,1,5,"CantQuSol, l. 5",[et],et,_,e,et,/e\,fro,CONcoo,---,et,DMF,et,,,<lb/><l n=&quot;5&quot;>
24,5,2,5,"CantQuSol, l. 5",son,son,_,SOn,s.o.n,S/O\n,fro,DETpos,3smr,son4,DMF,son4,,,
25,5,3,5,"CantQuSol, l. 5",ami,ami,_,Ami,a.m.i,/A\.'m/i\,fro,NOMcom,smr,ami,DMF,ami,,,
26,5,4,5,"CantQuSol, l. 5",dolcement,dolcement,_,doLÇEmENT,d.o.l.c.e.m.e.n.t,d/o\L.Ç/E\.'m/E\NT,fro,ADVgen,---,doucement,DMF,doucement,,,
27,5,5,5,"CantQuSol, l. 5",regre|ter,regreter,_,rEgrEtær,r.e.g.r.e.t.e.r,r/E\.gr/E\.'t/æ\r,fro,VERinf,---,regretter,DMF,regretter,,</l>,
28,6,1,6,"CantQuSol, l. 6",[et],et,_,e,et,/e\,fro,CONcoo,---,et,DMF,et,,,<lb/><l n=&quot;6&quot;>
29,6,2,6,"CantQuSol, l. 6",i[=io],jo,_,ʤɔ,j.o,ʤ/ɔ\,fro,PRNper,1smn,je,DMF,je,,,
30,6,3,6,"CantQuSol, l. 6",lli,lli,_,Li,ll.i,L/i\,fro,PRCper,3sfi,le,DMF,le,,,
31,6,4,6,"CantQuSol, l. 6",dis,dis,;,diS,d.i.s,d/i\S,fro,VERcjg,indpsp1,dire,DMF,dire,,</l></lg>,
32,7,1,7,"CantQuSol, l. 7",Gentilz,gentilz,+,ʤENtiLS,g.e.n.t.i.l.z,ʤ/E\N.'t/i\LS,fro,ADJqua,sfn,gentil,DMF,gentil,,,"<lg n=&quot;3&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;7&quot;><q>"
33,7,2,7,"CantQuSol, l. 7",pucellet,pucellet,|,pyʦɛlə,p.u.c.e.ll.et,p/y\.'ʦ/ɛ\.l/(ə)\,fro,NOMcom,sfn,pucelle,DMF,pucelle,,,
34,7,3,7,"CantQuSol, l. 7",molt,molt,_,moLT,m.o.l.t,m/o\LT,fro,ADVgen,---,moult,DMF,moult,,,<lb/>
35,7,4,7,"CantQuSol, l. 7",t,t,+,t,t,t/\,fro,PRCper,2sfr,te,DMF,te,,,
36,7,5,7,"CantQuSol, l. 7",ai,ai,_,Ai,a.i,/A\i,fro,VERcjg,indpst1,avoir,DMF,avoir,,,
37,7,6,7,"CantQuSol, l. 7",odit,odit,_,ɔði,o.d.it,/ɔ\.'ð/i\,fro,VERppe,smr,ouïr,DMF,ouïr,,,
38,7,7,7,"CantQuSol, l. 7",plorer,plorer,_,pLorær,p.l.o.r.e.r,pL/o\.'r/æ\r,fro,VERinf,---,pleurer,DMF,pleurer,,</q></l>,
39,8,1,8,"CantQuSol, l. 8",e,e,_,e,e,/e\,fro,CONcoo,---,et,DMF,et,,,<l n=&quot;8&quot;><q>
40,8,2,8,"CantQuSol, l. 8",tum,tum,_,tOm,t.u.m,t/O\m,fro,DETpos,2smr,ton2,DMF,ton2,,,
41,8,3,8,"CantQuSol, l. 8",ami,ami,|,Ami,a.m.i,/A\.'m/i\,fro,NOMcom,smr,ami,DMF,ami,,,
42,8,4,8,"CantQuSol, l. 8",dolcement,dolcement,|,doLÇEmENT,d.o.l.c.e.m.e.n.t,d/o\L.Ç/E\.'m/E\NT,fro,ADVgen,---,doucement,DMF,doucement,,,
43,8,5,8,"CantQuSol, l. 8",regreter,regreter,|,rEgrEtær,r.e.g.r.e.t.e.r,r/E\.gr/E\.'t/æ\r,fro,VERinf,---,regretter,DMF,regretter,,</add></q></l>,"<add place=""margin"">"
44,9,1,9,"CantQuSol, l. 9",[et],et,_,e,et,/e\,fro,CONcoo,---,et,DMF,et,,,<lb/><l n=&quot;9&quot;><q>
45,9,2,9,"CantQuSol, l. 9",chi,chi,_,ki,ch.i,k/i\,fro,PRNrel,smn,qui,DMF,qui,,,
46,9,3,9,"CantQuSol, l. 9",est,est,_,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
47,9,4,9,"CantQuSol, l. 9",illi,illi,;|,ili,i.ll.i,/i\.'l/i\,fro,PRNper,3smn,il,DMF,il,,</q></l></lg>,
48,10,1,10,"CantQuSol, l. 10",rget,…rget,_,0RQVQ,….r.g.e.t,'/0\R.Q/V\Q,fro,---,---,---,---,---,,,"<add place=""margin""><lb/><lg n=&quot;4&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;10&quot;><gap reason=""damage""/>"
49,10,2,10,"CantQuSol, l. 10",fud,fud,+,fy,f.ud,f/y\,fro,VERcjg,indpsp3,être,DMF,être,,,
50,10,3,10,"CantQuSol, l. 10",de,de,+,dE,d.e,d/(E)\,fro,PRE,---,de,DMF,de,,,
51,10,4,10,"CantQuSol, l. 10",bon,bon,|,bOn,b.o.n,b/O\n,fro,ADJqua,smr,bon,DMF,bon,,,
52,10,5,10,"CantQuSol, l. 10",ient,…ient,_,VNQ,…ie.n.t,/V\NQ,fro,---,---,---,---,---,,</l>,"<lb/><gap reason=""damage""/>"
53,11,1,11,"CantQuSol, l. 11",si,si,+,Si,s.i,S/i\,fro,ADVgen,---,si4,DMF,si4,,,<l n=&quot;11&quot;>
54,11,2,11,"CantQuSol, l. 11",respon,respon…,|,RVQQVN,r.e.s.p.o.n…,R/V\Q.'Q/V\N,fro,---,---,---,---,---,,,
55,11,3,11,"CantQuSol, l. 11",lt,…lt,_,0LQ,….l.t,/0\LT,fro,---,---,---,---,---,,,"<lb/><gap reason=""damage""/>"
56,11,4,11,"CantQuSol, l. 11",auenable,avenable…,|,VQVNVQLV,a.v.e.n.a.b.l.e…,/V\.Q/V\.'N/V\.QL/V\,fro,---,---,---,---,---,,"<gap reason=""damage""/></l>",
57,12,1,12,"CantQuSol, l. 12",so,so,+,So,s.o,S/o\,fro,PRE,---,sur,DMF,sur,,,<lb/><l n=&quot;12&quot;>
58,12,2,12,"CantQuSol, l. 12",son,son,_,SOn,s.o.n,S/O\n,fro,DETpos,3smr,son4,DMF,son4,,,
59,12,3,12,"CantQuSol, l. 12",ami,ami,;|,Ami,a.m.i,/A\.'m/i\,fro,NOMcom,smr,ami,DMF,ami,,</l></lg></add>,
60,13,1,13,"CantQuSol, l. 13",Li,li,+,Li,l.i,L/i\,fro,DETdef,smn,le,DMF,le,,,"<lb/><lg n=&quot;5&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;13&quot;><q>"
61,13,2,13,"CantQuSol, l. 13",miens,miens,|,miENS,m.i.e.n.s,m/iE\NS,fro,ADJpos,1smn,mien,DMF,mien,,,
62,13,3,13,"CantQuSol, l. 13",amis,amis,_,AmiS,a.m.i.s,/A\.'m/i\S,fro,NOMcom,smn,ami,DMF,ami,,,<lb/>
63,13,4,13,"CantQuSol, l. 13",il,il,_,il,i.l,/i\l,fro,PRNper,3smn,il,DMF,il,,,
64,13,5,13,"CantQuSol, l. 13",est,est,_,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
65,13,6,13,"CantQuSol, l. 13",de,de,+,dE,d.e,d/(E)\,fro,PRE,---,de,DMF,de,,,
66,13,7,13,"CantQuSol, l. 13",tel,tel,_,tæl,t.e.l,t/æ\l,fro,DETind,smr,tel,DMF,tel,,,
67,13,8,13,"CantQuSol, l. 13",paraget,paraget,_,pAraʤə,p.a.r.a.g.et,p/A\.'r/a\.ʤ/(ə)\,fro,NOMcom,smr,parage,DMF,parage,,</q></l>,
68,14,1,14,"CantQuSol, l. 14",que,que,_,kE,qu.e,k/(E)\,fro,CONsub,---,que,DMF,que,,,<l n=&quot;14&quot;><q>
69,14,2,14,"CantQuSol, l. 14",neuls,neuls,+,nEyLS,n.e.u.l.s,n/E\.'/y\LS,fro,DETind,smn,nul,DMF,nul,,,
70,14,3,14,"CantQuSol, l. 14",on,on,|,On,o.n,/O\n,fro,NOMcom,smn,homme,DMF,homme,,,
71,14,4,14,"CantQuSol, l. 14",n,n,+,n,n,n/\,fro,ADVneg,---,ne,DMF,ne,,,<lb/>
72,14,5,14,"CantQuSol, l. 14",en,en,+,En,e.n,/E\n,fro,PRCadv,---,en2,DMF,en2,,,
73,14,6,14,"CantQuSol, l. 14",seit,seit,_,SEiT,s.e.i.t,S/E\iT,fro,VERcjg,indpst3,savoir,DMF,savoir,,,
74,14,7,14,"CantQuSol, l. 14",conter,conter,_,kONtær,c.o.n.t.e.r,k/O\N.'t/æ\r,fro,VERinf,---,conter,DMF,conter,,,
75,14,8,14,"CantQuSol, l. 14",lignaget,lignaget,_,Liɲaʤə,l.i.gn.a.g.et,L/i\.'ɲ/a\.ʤ/(ə)\,fro,NOMcom,smr,lignage,DMF,lignage,,</q></l>,
76,15,1,15,"CantQuSol, l. 15",de,de,+,dE,d.e,d/(E)\,fro,PRE,---,de,DMF,de,,,<l n=&quot;15&quot;><q>
77,15,2,15,"CantQuSol, l. 15",l,l,+,L,l,L/\,fro,DETdef,sfr,le,DMF,le,,,
78,15,3,15,"CantQuSol, l. 15",une,une,|,ynə,u.n.e,'/y\.n/(ə)\,fro,PRNcar,sfr,un,DMF,un,,,
79,15,4,15,"CantQuSol, l. 15",part,part,;,parT,p.a.r.t,p/a\rT,fro,NOMcom,sfr,part,DMF,part,,</q></l></lg>,<lb/>
80,16,1,16,"CantQuSol, l. 16",Il,il,_,il,i.l,/i\l,fro,PRNper,3smn,il,DMF,il,,,"<lg n=&quot;6&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;16&quot;><q>"
81,16,2,16,"CantQuSol, l. 16",est,est,_,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
82,16,3,16,"CantQuSol, l. 16",plus,plus,_,pLyS,p.l.u.s,pL/y\S,fro,ADVgen,---,plus,DMF,plus,,,
83,16,4,16,"CantQuSol, l. 16",gensz,gensz,_,ʤENS,g.e.n.sz,ʤ/E\NS,fro,ADJqua,smn,gent2,DMF,gent2,,,
84,16,5,16,"CantQuSol, l. 16",que,que,_,kE,qu.e,k/(E)\,fro,CONsub,---,que,DMF,que,,,
85,16,6,16,"CantQuSol, l. 16",solleiz,solleiz,|,SolEiÇ,s.o.ll.e.i.z,S/o\.'l/E\iÇ,fro,NOMcom,smn,soleil,DMF,soleil,,,
86,16,7,16,"CantQuSol, l. 16",enn,enn,+,En,e.nn,/E\n,fro,PRE,---,en,DMF,en,,,<lb/>
87,16,8,16,"CantQuSol, l. 16",ested,ested,_,EStæ,e.s.t.ed,/E\S.'t/æ\,fro,NOMcom,smr,été,DMF,été,,</q></l>,
88,17,1,17,"CantQuSol, l. 17",uers,vers,_,vɛrS,v.e.r.s,v/ɛ\rS,fro,PRE,---,vers2,DMF,vers2,,,<l n=&quot;17&quot;><q>
89,17,2,17,"CantQuSol, l. 17",lui,lui,_,Lyi,l.u.i,L/y\i,fro,PRNper,3smr,lui,DMF,lui,,,
90,17,3,17,"CantQuSol, l. 17",ne,ne,_,nE,n.e,n/(E)\,fro,ADVneg,---,ne,DMF,ne,,,
91,17,4,17,"CantQuSol, l. 17",pued,pued,_,puET,p.u.e.d,p/uE\T,fro,VERcjg,indpst3,pouvoir2,DMF,pouvoir2,,,
92,17,5,17,"CantQuSol, l. 17",tenir,tenir,|,tEnir,t.e.n.i.r,t/E\.'n/i\r,fro,VERinf,---,tenir,DMF,tenir,,,
93,17,6,17,"CantQuSol, l. 17",nulle,nulle,_,nylə,n.u.ll.e,'n/y\.l/(ə)\,fro,DETind,sfr,nul,DMF,nul,,,<lb/>
94,17,7,17,"CantQuSol, l. 17",clartez,clartez,_,kLArtæ,c.l.a.r.t.ez,kL/A\r.'t/æ\,fro,NOMcom,sfr,clarté,DMF,clarté,,</q></l>,
95,18,1,18,"CantQuSol, l. 18",tant,tant,_,tANT,t.a.n.t,t/A\NT,fro,ADVgen,---,tant,DMF,tant,,,<l n=&quot;18&quot;><q>
96,18,2,18,"CantQuSol, l. 18",par,par,_,par,p.a.r,p/a\r,fro,ADVgen,---,par2,DMF,par2,,,
97,18,3,18,"CantQuSol, l. 18",est,est,_,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
98,18,4,18,"CantQuSol, l. 18",belsz,belsz,;|,bɛLS,b.e.l.sz,b/ɛ\LS,fro,ADJqua,smn,beau,DMF,beau,,</q></l></lg>,
99,19,1,19,"CantQuSol, l. 19",Blans,blans,_,bLANS,b.l.a.n.s,bL/A\NS,fro,ADJqua,smn,blanc,DMF,blanc,,,"<lb/><lg n=&quot;7&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;19&quot;><q>"
100,19,2,19,"CantQuSol, l. 19",[est],est,_,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
101,19,3,19,"CantQuSol, l. 19",[et],et,_,e,et,/e\,fro,CONcoo,---,et,DMF,et,,,
102,19,4,19,"CantQuSol, l. 19",roges,roges,_,roʤəS,r.o.g.e.s,'r/o\.ʤ/ə\S,fro,ADJqua,smn,rouge,DMF,rouge,,,
103,19,5,19,"CantQuSol, l. 19",plus,plus,_,pLyS,p.l.u.s,pL/y\S,fro,ADVgen,---,plus,DMF,plus,,,
104,19,6,19,"CantQuSol, l. 19",que,que,_,kE,qu.e,k/(E)\,fro,CONsub,---,que,DMF,que,,,
105,19,7,19,"CantQuSol, l. 19",io,jo,_,ʤɔ,j.o,ʤ/ɔ\,fro,PRNper,1sfn,je,DMF,je,,,
106,19,8,19,"CantQuSol, l. 19",ne,ne,+,nE,n.e,n/(E)\,fro,ADVneg,---,ne,DMF,ne,,,
107,19,9,19,"CantQuSol, l. 19",l,l,+,L,l,/\L,fro,PRCper,3snr,le,DMF,le,,,
108,19,10,19,"CantQuSol, l. 19",saí,sai,|,SAi,s.a.i,S/A\i,fro,VERcjg,indpst1,savoir,DMF,savoir,,,
109,19,11,20,"CantQuSol, l. 20",diret,diret,_,dirə,d.i.r.et,'d/i\.r/(ə)\,fro,VERinf,---,dire,DMF,dire,,</q></l>,<lb/>
110,20,1,20,"CantQuSol, l. 20",li,li,_,Li,l.i,L/i\,fro,DETdef,smn,le,DMF,le,,,<l n=&quot;20&quot;><q>
111,20,2,20,"CantQuSol, l. 20",suensz,suensz,_,SuENS,s.u.e.n.sz,S/uE\NS,fro,ADJpos,3smn,son4,DMF,son4,,,
112,20,3,20,"CantQuSol, l. 20",senblansz,senblansz,_,SENbLANS,s.e.n.b.l.a.n.sz,S/E\N.'bL/A\NS,fro,NOMcom,smn,semblant,DMF,semblant,,,
113,20,4,20,"CantQuSol, l. 20",n,n,+,n,n,n/\,fro,ADVneg,---,ne,DMF,ne,,,
114,20,5,20,"CantQuSol, l. 20",en,en,+,En,e.n,/E\n,fro,PRCadv,---,en2,DMF,en2,,,
115,20,6,20,"CantQuSol, l. 20",est,est,|,ɛST,e.s.t,/ɛ\ST,fro,VERcjg,indpst3,être,DMF,être,,,
116,20,7,20,"CantQuSol, l. 20",entreiz,entreiz,_,ENtrəS,e.n.t.r.ei.z,'/E\N.tr/ə\S,fro,PRE,---,entre,DMF,entre,,,<lb/>
117,20,8,20,"CantQuSol, l. 20",cent,cent,_,ÇENT,c.e.n.t,Ç/E\NT,fro,DETcar,pmr,cent,DMF,cent,,,
118,20,9,20,"CantQuSol, l. 20",miliet,miliet,_,miliə,m.i.l.i.et,'m/i\.li/(ə)\,fro,PRNcar,pmr,mille,DMF,mille,,</q></l>,
119,21,1,21,"CantQuSol, l. 21",ne,ne,+,nE,n.e,n/(E)\,fro,CONcoo,---,ne2,DMF,ne2,,,<l n=&quot;21&quot;><q>
120,21,2,21,"CantQuSol, l. 21",ia,ja,+,ʤa,j.a,ʤ/a\,fro,ADVgen,---,jà,DMF,jà,,,
121,21,3,21,"CantQuSol, l. 21",n,n,+,n,n,n/\,fro,ADVneg,---,ne,DMF,ne,,,
122,21,4,21,"CantQuSol, l. 21",en,en,+,En,e.n,/E\n,fro,PRCadv,---,en2,DMF,en2,,,
123,21,5,21,"CantQuSol, l. 21",i|ert,iert,;,iErT,i.e.r.t,/iE\rT,fro,VERcjg,indfut3,être,DMF,être,,</q></l></lg>,<lb/>
124,22,1,22,"CantQuSol, l. 22",Il,il,_,il,i.l,/i\l,fro,PRNper,3smn,il,DMF,il,,,"<lg n=&quot;8&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;22&quot;><q>"
125,22,2,22,"CantQuSol, l. 22",dist,dist,_,diST,d.i.s.t,d/i\ST,fro,VERcjg,indpsp3,dire,DMF,dire,,,
126,22,3,22,"CantQuSol, l. 22",de,de,+,dE,d.e,d/(E)\,fro,PRE,---,de,DMF,de,,,
127,22,4,22,"CantQuSol, l. 22",mei,mei,_,mEi,m.e.i,m/E\i,fro,PRNper,1sfr,moi,DMF,moi,,,
128,22,5,22,"CantQuSol, l. 22",que,que,_,kE,qu.e,k/(E)\,fro,CONsub,---,que,DMF,que,,,
129,22,6,22,"CantQuSol, l. 22",io,jo,_,ʤɔ,j.o,ʤ/ɔ\,fro,PRNper,1sfn,je,DMF,je,,,
130,22,7,22,"CantQuSol, l. 22",eret,eret,|,ɛrə,e.r.et,'/ɛ\.r/(ə)\,fro,VERcjg,indipf1,être,DMF,être,,,
131,22,8,22,"CantQuSol, l. 22",molt,molt,_,moLT,m.o.l.t,m/o\LT,fro,ADVgen,---,moult,DMF,moult,,,<lb/>
132,22,9,22,"CantQuSol, l. 22",bellet,bellet,_,bɛlə,b.e.ll.et,'b/ɛ\.l/(ə)\,fro,ADJqua,sfn,beau,DMF,beau,,</q></l>,
133,23,1,23,"CantQuSol, l. 23",si,si,+,Si,s.i,S/i\,fro,ADVgen,---,si4,DMF,si4,,,<l n=&quot;23&quot;><q>
134,23,2,23,"CantQuSol, l. 23",m,m,+,m,m,m/\,fro,PRCper,1sfr,me,DMF,me,,,
135,23,3,23,"CantQuSol, l. 23",ai_met,aimet,_,Aimə,a.i.m.et,'/A\i.m/(ə)\,fro,VERcjg,indpst3,aimer,DMF,aimer,,,
136,23,4,23,"CantQuSol, l. 23",tant,tant,|,tANT,t.a.n.t,t/A\NT,fro,ADVgen,---,tant,DMF,tant,,,
137,23,5,23,"CantQuSol, l. 23",toz,toz,_,toÇ,t.o.z,t/o\Ç,fro,DETind,pmr,tout,DMF,tout,,,<lb/>
138,23,6,23,"CantQuSol, l. 23",temps,temps,_,tENPS,t.e.m.p.s,t/E\NPS,fro,NOMcom,pmr,temps,DMF,temps,,,
