wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,ety_map,lang,textlineid,pos,pos_ogr,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,SPONS[US],sponsus,.,,,,,lat,---,NOUN,---,---,sponsus,wiktionary,---,"Spons, f. 53r, rubric",,</docTitle></front>,<text><front><pb n=&quot;53r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f113.item&quot;/><lb/><docTitle>
2,2,1,Ad–est,adest,–,VQVQQ,a.d.e.s.t,'/V\.Q/V\QQ,,lat,1,VERB,---,---,assum,wiktionary,---,"Spons, l. 1",,,<body xml:lang=&quot;pro&quot;><prologue><sp><lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;1&quot;>
3,2,2,spo[n]sus,sponsus,–|,QQVNQVQ,s.p.o.n.s.u.s,'QQ/V\N.Q/V\Q,,lat,1,NOUN,---,---,sponsus,wiktionary,---,"Spons, l. 1",,,
4,2,3,qui,qui,_,QRV,q.u.i,QR/V\,,lat,1,PRON,---,---,qui,wiktionary,---,"Spons, l. 1",,,<pb n=&quot;53v&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f114.item&quot;/><lb/>
5,2,4,est,est,–,VQQ,e.s.t,/V\QQ,,lat,1,VERB,---,---,sum,wiktionary,---,"Spons, l. 1",,,
6,2,5,christus,christus,–,QRVQQVQ,ch.r.i.s.t.u.s,'QR/V\Q.Q/V\Q,,lat,1,PROPN,---,---,Christus,wiktionary,---,"Spons, l. 1",,,
7,2,6,uigilate,vigilate,–,QVQVLVQV,v.i.g.i.l.a.t.e,Q/V\.Q/V\.'L/V\.Q/V\,,lat,1,VERB,---,---,vigilo,wiktionary,---,"Spons, l. 1",,,
8,2,7,uirgines,virgines,–,QVRQVNVQ,v.i.r.g.i.n.e.s,'Q/V\R.Q/V\.'N/V\Q,,lat,1,NOUN,---,---,virgo,wiktionary,---,"Spons, l. 1",,</l>,
9,3,1,p[ro],pro,+,QRV,p.r.o,QR/V\,,lat,2,ADP,---,---,pro,wiktionary,---,"Spons, l. 2",,,<l n=&quot;2&quot;>
10,3,2,aduentu,adventu,–,VQQVNQV,a.d.v.e.n.t.u,/V\Q.'Q/V\N.Q/V\,,lat,2,NOUN,---,---,adventus,wiktionary,---,"Spons, l. 2",,,
11,3,3,cui[us],cuius,–,QVRVQ,c.u.i.u.s,'Q/V\.R/V\Q,,lat,2,PRON,---,---,qui,wiktionary,---,"Spons, l. 2",,,
12,3,4,gaudent,gaudent,–,QVQVNQ,g.au.d.e.n.t,'Q/V\.Q/V\NQ,,lat,2,VERB,---,---,gaudeo,wiktionary,---,"Spons, l. 2",,,
13,3,5,[et],et,+,VQ,e.t,/V\Q,,lat,2,CCONJ,---,---,et,wiktionary,---,"Spons, l. 2",,,
14,3,6,gaude–|bunt,gaudebunt,–,QVQVQVNQ,g.au.d.e.b.u.n.t,Q/V\.'Q/V\.Q/V\NQ,,lat,2,VERB,---,---,gaudeo,wiktionary,---,"Spons, l. 2",,,
15,3,7,homines,homines,–,QVNVNVQ,h.o.m.i.n.e.s,'Q/V\.N/V\.'N/V\Q,,lat,2,NOUN,---,---,homo,wiktionary,---,"Spons, l. 2",,</l></lg>,<lb/>
16,4,1,Venit,venit,–,QVNVQ,v.e.n.i.t,'Q/V\.N/V\Q,,lat,3,VERB,---,---,venio,wiktionary,---,"Spons, l. 3",,,<lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;3&quot;>
17,4,2,enim,enim,–,VNVN,e.n.i.m,'/V\.N/V\N,,lat,3,ADV,---,---,enim,wiktionary,---,"Spons, l. 3",,,
18,4,3,lib[er]are,liberare,–,LVQVRVRV,l.i.b.e.r.a.r.e,L/V\.Q/V\.'R/V\.R/V\,,lat,3,VERB,---,---,libero,wiktionary,---,"Spons, l. 3",,,
19,4,4,gentium,gentium,–,QVNQVVN,g.e.n.t.i.u.m,'Q/V\N.Q/V\.'/V\N,,lat,3,NOUN,---,---,gens,wiktionary,---,"Spons, l. 3",,,
20,4,5,origines,origines,–,VRVQVNVQ,o.r.i.g.i.n.e.s,/V\.'R/V\.Q/V\.'N/V\Q,,lat,3,NOUN,---,---,origo,wiktionary,---,"Spons, l. 3",,</l>,
21,5,1,quas,quas,–,QRVQ,q.u.a.s,QR/V\Q,,lat,4,PRON,---,---,qui,wiktionary,---,"Spons, l. 4",,,<l n=&quot;4&quot;>
22,5,2,p[er],per,+,QVR,p.e.r,Q/V\R,,lat,4,ADP,---,---,per,wiktionary,---,"Spons, l. 4",,,
23,5,3,pri–|mam,primam,–,QRVNVN,p.r.i.m.a.m,'QR/V\.N/V\N,,lat,4,ADJ,---,---,primus,wiktionary,---,"Spons, l. 4",,,<lb/>
24,5,4,sibi,sibi,–,QVQV,s.i.b.i,'Q/V\.Q/V\,,lat,4,PRON,---,---,sui,wiktionary,---,"Spons, l. 4",,,
25,5,5,matrem,matrem,–,NVQRVN,m.a.t.r.e.m,'N/V\.QR/V\N,,lat,4,NOUN,---,---,mater,wiktionary,---,"Spons, l. 4",,,
26,5,6,sub_iugarunt,subiugarunt,–,QVQVVQVRVNQ,s.u.b.i.u.g.a.r.u.n.t,Q/V\.Q/V\./V\.'Q/V\.R/V\NQ,,lat,4,VERB,---,---,subjugo,wiktionary,---,"Spons, l. 4",,,
27,5,7,demones,demones,–,QVNVNVQ,d.e.m.o.n.e.s,'Q/V\.N/V\.'N/V\Q,,lat,4,NOUN,---,---,demon,wiktionary,---,"Spons, l. 4",,</l></lg>,
28,6,1,Hic,hic,+,QVQ,h.i.c,Q/V\Q,,lat,5,PRON,---,---,hic,wiktionary,---,"Spons, l. 5",,,<lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;5&quot;>
29,6,2,est,est,–,VQQ,e.s.t,/V\QQ,,lat,5,VERB,---,---,sum,wiktionary,---,"Spons, l. 5",,,
30,6,3,adam,adam,–,VQVN,a.d.a.m,'/V\.Q/V\N,,lat,5,PROPN,---,---,Adam,wiktionary,---,"Spons, l. 5",,,
31,6,4,q[u]i,qui,_,QRV,q.u.i,QR/V\,,lat,5,PRON,---,---,qui,wiktionary,---,"Spons, l. 5",,,
32,6,5,s[e]c[un]d[u]s,secundus,–|,QVQVNQVQ,s.e.c.u.n.d.u.s,Q/V\.'Q/V\N.Q/V\Q,,lat,5,ADJ,---,---,secundus,wiktionary,---,"Spons, l. 5",,,
33,6,6,per,per,_,QVR,p.e.r,Q/V\R,,lat,5,ADP,---,---,per,wiktionary,---,"Spons, l. 5",,,<lb/>
34,6,7,p[ro]pheta,propheta,–,QRVQVQV,p.r.o.ph.e.t.a,QR/V\.'Q/V\.Q/V\,,lat,5,NOUN,---,---,propheta,wiktionary,---,"Spons, l. 5",,,
35,6,8,dicitur,dicitur,–,QVQVQVR,d.i.c.i.t.u.r,'Q/V\.Q/V\.'Q/V\R,,lat,5,VERB,---,---,dico,wiktionary,---,"Spons, l. 5",,</l>,
36,7,1,p[er],per,_,QVR,p.e.r,Q/V\R,,lat,6,ADP,---,---,per,wiktionary,---,"Spons, l. 6",,,<l n=&quot;6&quot;>
37,7,2,quem,quem,–,QRVN,q.u.e.m,QR/V\N,,lat,6,PRON,---,---,qui,wiktionary,---,"Spons, l. 6",,,
38,7,3,scelus,scelus,–,QQVLVQ,s.c.e.l.u.s,'QQ/V\.L/V\Q,,lat,6,NOUN,---,---,scelus,wiktionary,---,"Spons, l. 6",,,
39,7,4,primi,primi,–,QRVNV,p.r.i.m.i,'QR/V\.N/V\,,lat,6,ADJ,---,---,primus,wiktionary,---,"Spons, l. 6",,,
40,7,5,ade,ade,–,VQV,a.d.e,'/V\.Q/V\,,lat,6,PROPN,---,---,Adam,wiktionary,---,"Spons, l. 6",,,
41,7,6,a,a,+,V,a,/V\,,lat,6,ADP,---,---,ab,wiktionary,---,"Spons, l. 6",,,
42,7,7,nobis,nobis,_,NVQVQ,n.o.b.i.s,'N/V\.Q/V\Q,,lat,6,PRON,---,---,nos,wiktionary,---,"Spons, l. 6",,,
43,7,8,dilui_tur,diluitur,–|,QVLVVQVR,d.i.l.u.i.t.u.r,Q/V\.'L/V\./V\.'Q/V\R,,lat,6,VERB,---,---,diluo,wiktionary,---,"Spons, l. 6",,</l></lg>,
44,8,1,Hic,hic,_,QVQ,h.i.c,Q/V\Q,,lat,7,PRON,---,---,hic,wiktionary,---,"Spons, l. 7",,,<lb/><lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;7&quot;> 
45,8,2,pependit,pependit,–,QVQVNQVQ,p.e.p.e.n.d.i.t,Q/V\.'Q/V\N.Q/V\Q,,lat,7,VERB,---,---,pendo,wiktionary,---,"Spons, l. 7",,,
46,8,3,ut,ut,_,VQ,u.t,/V\Q,,lat,7,SCONJ,---,---,ut,wiktionary,---,"Spons, l. 7",,,
47,8,4,celesti,celesti,–,QVLVQQV,c.e.l.e.s.t.i,Q/V\.'L/V\Q.Q/V\,,lat,7,ADJ,---,---,caelestis,wiktionary,---,"Spons, l. 7",,,
48,8,5,patrie,patrie,–,QVQRVV,p.a.t.r.i.e,'Q/V\.QR/V\.'/V\,,lat,7,NOUN,---,---,patria,wiktionary,---,"Spons, l. 7",,,
49,8,6,nos,nos,_,NVQ,n.o.s,N/V\Q,,lat,7,PRON,---,---,nos,wiktionary,---,"Spons, l. 7",,,
50,8,7,redderet,redderet,–,RVQQVRVQ,r.e.d.d.e.r.e.t,'R/V\Q.Q/V\.'R/V\Q,,lat,7,VERB,---,---,reddo,wiktionary,---,"Spons, l. 7",,</l>,
51,9,1,ac,ac,+,VQ,a.c,/V\Q,,lat,8,CCONJ,---,---,ac,wiktionary,---,"Spons, l. 8",,,<l n=&quot;8&quot;>
52,9,2,de,de,+,QV,d.e,Q/V\,,lat,8,ADP,---,---,de,wiktionary,---,"Spons, l. 8",,,
53,9,3,parte,parte,–,QVRQV,p.a.r.t.e,'Q/V\R.Q/V\,,lat,8,NOUN,---,---,pars,wiktionary,---,"Spons, l. 8",,,
54,9,4,inimici,inimici,–|,VNVNVQV,i.n.i.m.i.c.i,/V\.N/V\.'N/V\.Q/V\,,lat,8,NOUN,---,---,inimicus,wiktionary,---,"Spons, l. 8",,,
55,9,5,liberos,liberos,–,LVQVRVQ,l.i.b.e.r.o.s,'L/V\.Q/V\.'R/V\Q,,lat,8,ADJ,---,---,liber,wiktionary,---,"Spons, l. 8",,,<lb/>
56,9,6,nos,nos,+,NVQ,n.o.s,N/V\Q,,lat,8,PRON,---,---,nos,wiktionary,---,"Spons, l. 8",,,
57,9,7,traheret,traheret,–,QRVQVRVQ,t.r.a.h.e.r.e.t,'QR/V\.Q/V\.'R/V\Q,,lat,8,VERB,---,---,traho,wiktionary,---,"Spons, l. 8",,</l></lg>,
58,10,1,Venit,venit,–,QVNVQ,v.e.n.i.t,'Q/V\.N/V\Q,,lat,9,VERB,---,---,venio,wiktionary,---,"Spons, l. 9",,,<lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;9&quot;>
59,10,2,sponsus,sponsus,–,QQVNQVQ,s.p.o.n.s.u.s,'QQ/V\N.Q/V\Q,,lat,9,NOUN,---,---,sponsus,wiktionary,---,"Spons, l. 9",,,
60,10,3,qui,qui,_,QRV,q.u.i,QR/V\,,lat,9,PRON,---,---,qui,wiktionary,---,"Spons, l. 9",,,
61,10,4,nostror[um],nostrorum,–,NVQQRVRVN,n.o.s.t.r.o.r.u.m,N/V\Q.'QR/V\.R/V\N,,lat,9,DET,---,---,noster,wiktionary,---,"Spons, l. 9",,,
62,10,5,scelerum,scelerum,–,QQVLVRVN,s.c.e.l.e.r.u.m,'QQ/V\.L/V\.'R/V\N,,lat,9,NOUN,---,---,scelus,wiktionary,---,"Spons, l. 9",,,
63,10,6,pia–|cula,piacula,–,QVVQVLV,p.i.a.c.u.l.a,Q/V\.'/V\.Q/V\.'L/V\,,lat,9,NOUN,---,---,piaculum,wiktionary,---,"Spons, l. 9",,</l>,
64,11,1,mor_te,morte,–,NVRQV,m.o.r.t.e,'N/V\R.Q/V\,,lat,10,NOUN,---,---,mors,wiktionary,---,"Spons, l. 10",,,<lb/><l n=&quot;10&quot;> 
65,11,2,lauit,lavit,–,LVQVQ,l.a.v.i.t,'L/V\.Q/V\Q,,lat,10,VERB,---,---,lavo,wiktionary,---,"Spons, l. 10",,,
66,11,3,at_q[ue],atque,–,VQQRV,a.t.q.u.e,'/V\Q.QR/V\,,lat,10,CCONJ,---,---,atque,wiktionary,---,"Spons, l. 10",,,
67,11,4,crucis,crucis,–,QRVQVQ,c.r.u.c.i.s,'QR/V\.Q/V\Q,,lat,10,NOUN,---,---,crux,wiktionary,---,"Spons, l. 10",,,
68,11,5,sustulit,sustulit,–,QVQQVLVQ,s.u.s.t.u.l.i.t,'Q/V\Q.Q/V\.'L/V\Q,,lat,10,VERB,---,---,suffero,wiktionary,---,"Spons, l. 10",,,
69,11,6,patibula,patibula,–,QVQVQVLV,p.a.t.i.b.u.l.a,Q/V\.'Q/V\.Q/V\.'L/V\,,lat,10,NOUN,---,---,patibulum,wiktionary,---,"Spons, l. 10",,</l></lg></sp></prologue>,
70,12,1,PRUde[n]tes,prudentes,|,,,,,lat,---,NOUN,---,---,prudens,wiktionary,---,"Spons, f. 53v, rubric",,</speaker>,<sp><speaker>
71,13,1,Oiet,oiet,–,OiɛT,o.i.e.t,/O\i.'/ɛ\T,,pro,11,VERB,VERcjg,imp---5,auzir,DOM,ouïr,"Spons, l. 11",,,<lb/><lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaab&quot;><l n=&quot;11&quot;>
72,13,2,uirgines,virgines,–,virʤinES,v.i.r.g.i.n.e.s,v/i\r.'ʤ/i\.n/E\S,,pro,11,NOUN,NOMcom,pfn,vergena,DOM,virgine2,"Spons, l. 11",,,
73,13,3,aiso,aiso,–,Aisɔ,a.i.s.o,/A\i.'s/ɔ\,,pro,11,PRON,PRNdem,snr,aisso,DOM,ce,"Spons, l. 11",,,
74,13,4,que,que,+,kE,qu.e,k/(E)\,,pro,11,PRON,PRNrel,snr,que,DOM,que,"Spons, l. 11",,,
75,13,5,uos,vos,–,vOS,v.o.s,v/O\S,,pro,11,PRON,PRCper,5pfr,vós,DOM,vous,"Spons, l. 11",,,
76,13,6,dirum,dirum,–,dirOm,d.i.r.u.m,d/i\.'r/O\m,,pro,11,VERB,VERcjg,indfut4,dire,DOM,dire,"Spons, l. 11",,</l>,
77,14,1,aisex,aisex,–,AisɛT,a.i.s.e.x,/A\i.'s/ɛ\T,,pro,12,VERB,VERcjg,imp---5,aisir,DOM,---,"Spons, l. 12",transcription_SponsusA:59 lemma:SponsusT:243,,<l n=&quot;12&quot;>
78,14,2,presen,presen,–,prEzEn,p.r.e.s.e.n,pr/E\.'z/E\n,p-.r-.e[.-s-.è].-n(-s),pro,12,ADV,ADVgen,---,prezén,DOM,présent,"Spons, l. 12",,,
79,14,3,que,que,+,kE,qu.e,k/(E)\,,pro,12,SCONJ,CONsub,---,que2,DOM,que,"Spons, l. 12",,,
80,14,4,uos,vos,–,vOS,v.o.s,v/O\S,,pro,12,PRON,PRCper,5pfr,vós,DOM,vous,"Spons, l. 12",,,
81,14,5,co–|mandarum,comandarum,–,kOmANdArOm,c.o.m.a.n.d.a.r.u.m,k/O\.m/A\N.d/A\.'r/O\m,,pro,12,VERB,VERcjg,indfut4,comandar,DOM,commander,"Spons, l. 12",,</l>,
82,15,1,atend[et],atendet,–,AtENdɛT,a.t.e.n.d.e.t,/A\.t/E\N.'d/ɛ\T,a].-tt-.è].-n.d-.è[.-t-(e[)(-s-),pro,13,VERB,VERcjg,indpst5,aténdre,DOM,attendre,"Spons, l. 13",,,<lb/><l n=&quot;13&quot;>
83,15,2,un,un,+,yN,u.n,/y\N,,pro,13,DET,DETndf,smr,uN,DOM,un,"Spons, l. 13",,,
84,15,3,es_pos,espos,–,ESpoS,e.s.p.o.s,/E\S.'p/o\S,0.s.p-.ó](-n).s-(o[),pro,13,NOUN,NOMcom,smr,espós,DOM,époux,"Spons, l. 13",,,
85,15,4,ih[es]u,jhesu,–,ʤEzy,jh.e.s.u,ʤ/E\.'z/y\,,pro,13,PROPN,NOMpro,smn,Jésus,wikipedia.fr,---,"Spons, l. 13",,,
86,15,5,saluaire,salvaire,–,SALvAirE,s.a.l.v.a.i.r.e,S/A\L.'v/A\i.r/(E)\,s-.a[.-l.w-.á[.-t-(o[).-r-.0,pro,13,NOUN,NOMcom,smn,salvadór,DOM,sauveur,"Spons, l. 13",,,
87,15,6,a,a,+,A,a,/A\,,pro,13,VERB,VERcjg,indpst3,avér,DOM,avoir,"Spons, l. 13",,,
88,15,7,nom,nom,_,nOm,n.o.m,n/O\m,n-.ó[.-m-(e[),pro,13,NOUN,NOMcom,smr,nóm,DOM,nom,"Spons, l. 13",,</l>,
89,16,1,Gaire,gaire,_,gAirE,g.a.i.r.e,'g/A\i.r/(E)\,,pro,14,ADV,ADVgen,---,gaire,DOM,guère,"Spons, l. 14",,,<l n=&quot;14&quot;>
90,16,2,no,no,+,nO,n.o,n/O\,,pro,14,ADV,ADVneg,---,nóN,DOM,ne,"Spons, l. 14",,,
91,16,3,i,i,–|,i,i,/\i,,pro,14,PRON,PRCadv,---,i,DOM,y2,"Spons, l. 14",,,
92,16,4,dormet,dormet,–,dOrmɛT,d.o.r.m.e.t,d/O\r.'m/ɛ\T,d-.ò].-r.m-.è[.-t-(e[)(-s-),pro,14,VERB,VERcjg,imp---5,dormir,DOM,dormir,"Spons, l. 14",,</l></lg>,<pb n=&quot;54r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f115.item&quot;/><lb/>
93,17,1,Aisel,aisel,–,Aisel,a.i.s.e.l,/A\i.'s/e\l,,pro,15,DET,DETdem,smn,aicel,DOM,cil,"Spons, l. 15",,,<lg type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaab&quot;><l n=&quot;15&quot;>
94,17,2,espos,espos,–,ESpoS,e.s.p.o.s,/E\S.'p/o\S,0.s.p-.ó](-n).s-(o[),pro,15,NOUN,NOMcom,smn,espós,DOM,époux,"Spons, l. 15",,,
95,17,3,que,que,+,kE,qu.e,k/(E)\,,pro,15,PRON,PRNrel,smr,que,DOM,que,"Spons, l. 15",,,
96,17,4,uos,vos,–,voS,v.o.s,v/o\S,,pro,15,PRON,PRNper,5pfn,vós,DOM,vous,"Spons, l. 15",,,
97,17,5,hor,hor,+,or,ho.r,/o\r,,pro,15,ADV,ADVgen,---,or,DOM,or2,"Spons, l. 15",,,
98,17,6,a–tend[et],atendet,_,AtENdɛT,a.t.e.n.d.e.t,/A\.t/E\N.'d/ɛ\T,a].-tt-.è].-n.d-.è[.-t-(e[)(-s-),pro,15,VERB,VERcjg,indpst5,aténdre,DOM,attendre,"Spons, l. 15",,</l>,
99,18,1,uenit,venit,–,vEniT,v.e.n.i.t,v/E\.'n/i\T,,pro,16,VERB,VERcjg,indpsp3,venir,DOM,venir,"Spons, l. 16",,,<l n=&quot;16&quot;>
100,18,2,en,en,_,EN,e.n,/E\N,,pro,16,ADP,PRE,---,én,DOM,en,"Spons, l. 16",,,
101,18,3,terra,terra,–,tɛrrA,t.e.r.r.a,'t/ɛ\r.r/(A)\,t-è].-rr-..a[,pro,16,NOUN,NOMcom,sfr,tèrra,DOM,terre,"Spons, l. 16",,,
102,18,4,p[er],per,_,pEr,p.e.r,p/E\r,,pro,16,ADP,PRE,---,pér,DOM,par,"Spons, l. 16",,,
103,18,5,los,los,–|,LOS,l.o.s,L/O\S,,pro,16,DET,DETdef,pmr,los,DOM,le,"Spons, l. 16",,,
104,18,6,uostres,vostres,–,vɔStrES,v.o.s.t.r.e.s,'v/ɔ\S.tr/E\S,w-.ò].-s.t-.r-.o[.-s-,pro,16,ADJ,ADJpos,5pmr,vòstre,DOM,votre,"Spons, l. 16",,,<lb/>
105,18,7,pechet,pechet,|,pEċɛT,p.e.ch.e.t,p/E\.'ċ/ɛ\T,p-.e].-kk-.à[.-t-(o[),pro,16,NOUN,NOMcom,pmr,pecat,DOM,péché,"Spons, l. 16",,</l>,
106,19,1,de,de,+,dE,d.e,d/(E)\,,pro,17,ADP,PRE,---,de,DOM,de,"Spons, l. 17",,,<lb/><l n=&quot;17&quot;>
107,19,2,la,la,_,LA,l.a,L/(A)\,,pro,17,DET,DETdef,sfr,la,DOM,le,"Spons, l. 17",,,
108,19,3,uirgine,virgine,–,virʤinE,v.i.r.g.i.n.e,v/i\r.'ʤ/i\.n/(E)\,,pro,17,NOUN,NOMcom,sfr,vergena,DOM,virgine2,"Spons, l. 17",,,
109,19,4,en,en,+,EN,e.n,/E\N,,pro,17,ADP,PRE,---,én,DOM,en,"Spons, l. 17",,,
110,19,5,betleem,betleem,–,bEtLEEm,b.e.t.l.e.e.m,b/E\t.L/E\.'/E\m,,pro,17,PROPN,NOMpro,smr,Bethléem,wikipedia.fr,---,"Spons, l. 17",,,
111,19,6,fo,fo,_,fo,f.o,f/o\,f-.ó[(i[)(-t-),pro,17,AUX,VERcjg,indpsp3,èser,DOM,être,"Spons, l. 17",,,
112,19,7,net,net,–,nɛT,n.e.t,n/ɛ\T,n-.à[.-t-(o[)(-s-),pro,17,VERB,VERppe,smn,naiser,DOM,naître,"Spons, l. 17",,</l>,
